,fullname,uni_name,file,is_a_main_job
722,Małgorzata Hołda,Uniwersytet Jagielloński w Krakowie,selected,
740,Grzegorz Iniewicz,Uniwersytet Jagielloński w Krakowie,selected,
747,Bernadetta Izydorczyk,Uniwersytet Jagielloński w Krakowie,selected,
773,Bernadetta Elżbieta Janusz,Uniwersytet Jagielloński w Krakowie,selected,
792,Katarzyna Jaśko,Uniwersytet Jagielloński w Krakowie,selected,
846,Weronika Anna Kałwak,Uniwersytet Jagielloński w Krakowie,selected,
917,Joanna Katarzyna Kłosowska,Uniwersytet Jagielloński w Krakowie,selected,
952,Halszka Kontrymowicz-Ogińska,Uniwersytet Jagielloński w Krakowie,selected,
986,Małgorzata Kossowska,Uniwersytet Jagielloński w Krakowie,selected,
997,Ilona Kotlewska,Uniwersytet Jagielloński w Krakowie,selected,
1089,Małgorzata Kuleta-Krzyszkowiak,Uniwersytet Jagielloński w Krakowie,selected,
1098,Michał Kuniecki,Uniwersytet Jagielloński w Krakowie,selected,
1125,Monika Kwiek,Uniwersytet Jagielloński w Krakowie,selected,
1150,Marcin Leszczyński,Uniwersytet Jagielloński w Krakowie,selected,
1156,Koryna Lewandowska,Uniwersytet Jagielloński w Krakowie,selected,
1168,Jakub Lickiewicz,Uniwersytet Jagielloński w Krakowie,selected,
1237,Józef Maciuszek,Uniwersytet Jagielloński w Krakowie,selected,
1247,Marta Maj,Uniwersytet Jagielloński w Krakowie,selected,
1264,Diana Malinowska,Uniwersytet Jagielloński w Krakowie,selected,
1285,Tadeusz Marek,Uniwersytet Jagielloński w Krakowie,selected,
1291,Iana Markevych,Uniwersytet Jagielloński w Krakowie,selected,
1321,Stefanie Meeuwis,Uniwersytet Jagielloński w Krakowie,selected,
1330,Jacek Mesterhazy,Uniwersytet Jagielloński w Krakowie,selected,
1371,Justyna Katarzyna Mojsa-Kaja,Uniwersytet Jagielloński w Krakowie,selected,
1374,Erica Molinario,Uniwersytet Jagielloński w Krakowie,selected,
1409,Jacek Neckar,Uniwersytet Jagielloński w Krakowie,selected,
1413,Edward Nęcka,Uniwersytet Jagielloński w Krakowie,selected,
1418,Agnieszka Niedźwieńska,Uniwersytet Jagielloński w Krakowie,selected,
1433,Aleksander Nitka,Uniwersytet Jagielloński w Krakowie,selected,
1456,Czesław Noworol,Uniwersytet Jagielloński w Krakowie,selected,
1494,Małgorzata Opoczyńska-Morasiewicz,Uniwersytet Jagielloński w Krakowie,selected,
1496,Natasza Orlov,Uniwersytet Jagielloński w Krakowie,selected,
1515,Ayşegül Özkan,Uniwersytet Jagielloński w Krakowie,selected,
1539,Borysław Paulewicz,Uniwersytet Jagielloński w Krakowie,selected,
1566,Bogusława Piasecka,Uniwersytet Jagielloński w Krakowie,selected,
1567,Elżbieta Piątek,Uniwersytet Jagielloński w Krakowie,selected,
1591,Krzysztof Piotrowski,Uniwersytet Jagielloński w Krakowie,selected,
1598,Przemysław Piotrowski,Uniwersytet Jagielloński w Krakowie,selected,
1633,Mateusz Polak,Uniwersytet Jagielloński w Krakowie,selected,
1635,Romuald Polczyk,Uniwersytet Jagielloński w Krakowie,selected,
1677,Katarzyna Prochwicz,Uniwersytet Jagielloński w Krakowie,selected,
1722,Anna Maria Rajtar-Zembaty,Uniwersytet Jagielloński w Krakowie,selected,
