,fullname,uni_name
1508,Krystyna Ostapiuk,"Wyższa_Szkoła_Zarządzania_""Edukacja""_we_Wrocławiu"
1516,Grzegorz Pajestka,Uniwersytet_Opolski
1518,Maciej Paluch,Wyższa_Szkoła_Bezpieczeństwa_w_Poznaniu
1524,Daniel Pankowski,Akademia_Ekonomiczno-Humanistyczna_w_Warszawie
1532,Jacek Andrzej Pasternak,Uniwersytet_Rzeszowski
1533,Aneta Iwona Pasternak,Wyższa_Szkoła_Menedżerska_w_Warszawie
1550,Marta Pawelec,Wyższa_Szkoła_Ekonomii_i_Innowacji_w_Lublinie
1555,Justyna Pawlak,Uniwersytet_Ekonomiczny_w_Krakowie
1572,Joanna Piekarska,Akademia_Ekonomiczno-Humanistyczna_w_Warszawie
1573,Maja Elżbieta Piekut,Małopolska_Uczelnia_Państwowa_rotmistrza_Witolda_Pileckiego_w_Oświęcimiu
1575,Kamila Jadwiga Pierchała,Małopolska_Uczelnia_Państwowa_rotmistrza_Witolda_Pileckiego_w_Oświęcimiu
1590,Katarzyna Joanna Piotrowska,Akademia_Leona_Koźmińskiego_w_Warszawie
1611,Przemysław Piwowarczyk,Wyższa_Szkoła_Bezpieczeństwa_w_Poznaniu
1613,Zdzisław Ples,Podkowiańska_Wyższa_Szkoła_Medyczna_Zofii_i_Jonasza_Łyko_w_Podkowie_Leśnej
1614,Mieczysław Plopa,Akademia_Ekonomiczno-Humanistyczna_w_Warszawie
1621,Joanna Weronika Płotnikowska,Uniwersytet_Mikołaja_Kopernika_w_Toruniu
1646,Wiesław Piotr Poleszak,Wyższa_Szkoła_Ekonomii_i_Innowacji_w_Lublinie
1665,Robert Czesław Porzak,Wyższa_Szkoła_Ekonomii_i_Innowacji_w_Lublinie
1674,Anna Ewa Potyka,Politechnika_Śląska
1676,Magdalena Prentka,Gnieźnieńska_Szkoła_Wyższa_Milenium_z_siedzibą_w_Gnieźnie
1691,Piotr Przybylski,Uniwersytet_Zielonogórski
1693,HANNA PRZYBYŁA-BASISTA,Akademia_Ekonomiczno-Humanistyczna_w_Warszawie
1697,Ewa Małgorzata Pudłowska,Wyższa_Szkoła_Gospodarki_Euroregionalnej_Alcide_De_Gasperi_w_Józefowie
1702,Joanna Putkiewicz-Aleksandrowicz,Instytut_Fizjologii_i_Patologii_Słuchu
1706,Joanna Ewa Pyrkosz-Pacyna,Akademia_Górniczo-Hutnicza_Stanisława_Staszica_w_Krakowie
1710,Żaneta Rachwaniec,Śląski_Uniwersytet_Medyczny_w_Katowicach
1717,Beata Rajba,Wyższa_Szkoła_Bankowa_w_Toruniu
1723,Tomasz Rak,Uniwersytet_Papieski_Jana_Pawła_II_w_Krakowie
1724,Jarosław Marek Rakoczy,Uniwersytet_Medyczny_w_Łodzi
1725,Halina Rarot,Politechnika_Lubelska
1728,Karolina Ratajczak,Akademia_Wychowania_Fizycznego_Eugeniusza_Piaseckiego_w_Poznaniu
1729,Zofia Ratajczak,Górnośląska_Wyższa_Szkoła_Handlowa_Wojciecha_Korfantego_w_Katowicach
1732,Marta Rawińska,Akademia_Ekonomiczno-Humanistyczna_w_Warszawie
1753,Aleksandra Maria Rogowska,Uniwersytet_Opolski
1764,Małgorzata Romanowska,Uniwersytet_Medyczny_Karola_Marcinkowskiego_w_Poznaniu
1765,Tatiana Ronginska,Uniwersytet_Zielonogórski
1767,Robert Tomasz ROSA,Akademia_Sztuki_Wojennej
1770,Renata Rosmus,Górnośląska_Wyższa_Szkoła_Handlowa_Wojciecha_Korfantego_w_Katowicach
1774,Agnieszka Roszkowska,Akademia_Techniczno-Humanistyczna_w_Bielsku-Białej
1777,Magdalena Rozmus,Wyższa_Szkoła_Nauk_Społecznych_z_siedzibą_w_Lublinie
1785,Patrycja Rudnicka,Akademia_Sztuk_Pięknych_w_Katowicach
